Manufacturer,Model,Price,Gear,Hand,Capacity_engine,Engine_type,Km,Color,Prev_ownership,Curr_ownership,Area,City,Year,Pic_num,Cre_date,Repub_date,Description,Test
סקודה,אוקטביה RS,11111 ,אוטומטית,1,2000,בנזין,15000,לבן פנינה,פרטית,פרטית,באר שבע והסביבה,באר שבע,2022,0,2024-03-18,2024-03-18,רכב חדש,170
סקודה,ראפיד,45000 ,אוטומטית,2,1400,בנזין,175000,לבן פנינה,פרטית,פרטית,נתניה והסביבה,נתניה,2017,0,2023-12-06,2023-12-06,"סקודה ראפיד סוף 2017 רכב יד 2 170 אלף ק""מ",
סקודה,פאביה,39000 ,ידנית,1,1200,בנזין,38000,,,,תל אביב,תל אביב יפו,2017,0,2022-10-23,2022-10-23,,
סקודה,אוקטביה,68000 ,אוטומטית,3,999,בנזין,134000,,,,כרמיאל והסביבה,כרמיאל,2018,0,2022-10-22,2022-10-22,אוקטביה לאחר טיימינג שמורה מאוד מאוד,
סקודה,סופרב,170000 ,אוטומטית,1,1500,בנזין,85000,,,,חדרה וישובי עמק חפר,חדרה,2020,0,2022-10-19,2022-10-19,רכב שיצא מהחברה במצב חדש מטופל בחרה טיפולים בזמן עדין באחריות לאנשים רצינים,
סקודה,סופרב,236000 ,אוטומטית,1,1400,חשמלי,40000,,,,,רהט,2021,0,2022-10-16,2022-10-16,טורבו חשמל 218 כ״ס &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; רכב מופאר,
סקודה,ראפיד,210000 ,אוטומטית,2,2000,בנזין,23,,,,ירושלים והסביבה,ירושלים,2019,0,2022-10-10,2022-10-10,"סקודה קודיאק
כחדשה! שמורה, לא נסעה הרבה!
לרציניים בלבד! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג נפתח, מולטימדיה.",
סקודה,אוקטביה,,טיפטרוניק,2,1400,בנזין,130,,,,,לקיה,2018,0,2022-02-10,2022-02-10,"רכב שמור 
רק לרציניים",
סקודה,אוקטביה,65000 ,אוטומטית,2,999,בנזין,143000,,,,מושבים בצפון,גשר הזיו,2018,0,2022-09-20,2022-09-20,סקודה אוקטביה אמבישיןן,
סקודה,אוקטביה,70000 ,אוטומטית,3,1968,דיזל,,,,,גליל ועמקים,שפרעם,2017,0,2022-09-17,2022-09-17,"רכב במצב מעולה, טופל בזמן,חסכוני בדלק,נמכר עקב קנית רכב חדש.",
סקודה,אוקטביה,140000 ,אוטומטית,4,1500,בנזין,,,,,,שגב שלום,2021,0,2022-09-14,2022-09-14,רכב שמור ללא תאונות ללא תיקונים רכב יפה ונקי וללא תיקוני צבע סיבה שהוא הרבה ידים הוא היה עובר פעלות עם חברים ??,
סקודה,ייטי,70000 ,אוטומטית,1,1600,בנזין,98000,,,,,קריית טבעון,2018,0,2022-01-09,2022-01-09,יד אשונה נהג אחד נהג במכונית .,
סקודה,סופרב,290000 ,אוטומטית,2,2000,בנזין,40000,אפור,פרטית,פרטית,עמק יזרעאל,עפולה,2020,7,2022-03-14,2022-03-14,"רכב שמור מאוד שכבת ננו מטופלת בחברה שנה אחריות 40,000 קמ מוכר חוסר שימוש",
סקודה,ראפיד ספייסבק,65000 ,אוטומטית,1,1400,בנזין,85000,,,,פתח תקוה והסביבה,פתח תקווה,2017,0,2022-01-08,2022-01-08,"רכב מפרטי במצב מעולה ללא תאונות עלה לכביש חדש בסוף ינואר 2017, טסט לחצי שנה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; לרכב יש סאן רוף.",
סקודה,סופרב,145000 ,אוטומטית,2,1800,בנזין,80000,חום,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,2017,1,2021-12-14,2021-12-14,"רכב שמור 80אלף ק״ם!! 
עם סטייג 1 תוכנת ניהול לגיר 
מפוצץ תוספות",
סקודה,סופרב,220000 ,אוטומטית,2,2000,בנזין,70000,,,,תל אביב,תל אביב יפו,2019,0,2022-04-21,2022-04-21,רכב שמור עם ספר טיפולים. נאלץ למכור עקב קבלת רכב מהעבודה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; 280 כוח סוס. 4×4,
סקודה,ראפיד,59000 ,אוטומטית,2,1200,בנזין,150000,,,,חיפה וחוף הכרמל,חיפה,2017,0,2022-04-18,2022-04-18,"סקודה ראפיד שנת 2017, שמורה היטב ומטופלת קבוע, במצב חדש מבפנים ומבחוץ, שודרגה מערכת מולטימדיה ברכב למערכת טאצ' כולל בלוטוס. עברה טיפול גדול. מנוע 1.2 טורבו מאוד עוצמתי וחסכוני, תא מטען גדול ומרווח, רכב משפחתי ונוח. לרציניים בלבד ניתן להתגמש במחיר, לא להתקשר בשבת",
סקודה,אוקטביה,45000 ,אוטומטית,1,1600,בנזין,40000,שחור,פרטית,פרטית,תל אביב,תל אביב יפו,2018,0,2022-02-28,2022-01-03,"דרושים לעבודות תמלול, קלדנות כתיבה, הזנת תוכן, ומילוי סקרים, פרטים בוואטספ 058-7338281",
סקודה,סופרב,102000 ,אוטומטית,1,1800,בנזין,135000,ירוק,פרטית,פרטית,חיפה וחוף הכרמל,אום אל פחם,2017,0,2023-11-03,2023-10-03,,
